,precision,recall,f1-score,support
B-FACILITIES#CLEANLINESS#POSITIVE,1.0,0.75,0.8571428571428571,4.0
B-FACILITIES#COMFORT#NEGATIVE,0.25,0.16666666666666666,0.2,6.0
B-FACILITIES#COMFORT#POSITIVE,0.0,0.0,0.0,2.0
B-FACILITIES#DESIGN&FEATURES#NEGATIVE,0.375,0.16666666666666666,0.23076923076923078,18.0
B-FACILITIES#DESIGN&FEATURES#POSITIVE,0.36363636363636365,0.18181818181818182,0.24242424242424246,22.0
B-FACILITIES#GENERAL#NEGATIVE,0.0,0.0,0.0,1.0
B-FACILITIES#GENERAL#POSITIVE,1.0,0.14285714285714285,0.25,7.0
B-FACILITIES#PRICES#NEGATIVE,0.0,0.0,0.0,3.0
B-FACILITIES#PRICES#POSITIVE,0.0,0.0,0.0,1.0
B-FACILITIES#QUALITY#NEGATIVE,0.5,0.3333333333333333,0.4,15.0
B-FACILITIES#QUALITY#POSITIVE,0.0,0.0,0.0,1.0
B-FACILITIES#STYLE&OPTIONS#NEGATIVE,0.14285714285714285,0.16666666666666666,0.15384615384615383,6.0
B-FACILITIES#STYLE&OPTIONS#POSITIVE,0.0,0.0,0.0,2.0
B-FOOD&DRINKS#DESIGN&FEATURES#NEGATIVE,0.0,0.0,0.0,1.0
B-FOOD&DRINKS#DESIGN&FEATURES#POSITIVE,0.0,0.0,0.0,1.0
B-FOOD&DRINKS#GENERAL#NEGATIVE,0.0,0.0,0.0,5.0
B-FOOD&DRINKS#GENERAL#POSITIVE,0.6666666666666666,0.46153846153846156,0.5454545454545455,13.0
B-FOOD&DRINKS#PRICES#POSITIVE,0.0,0.0,0.0,3.0
B-FOOD&DRINKS#QUALITY#NEGATIVE,0.25,0.08333333333333333,0.125,12.0
B-FOOD&DRINKS#QUALITY#POSITIVE,0.6078431372549019,0.8157894736842105,0.6966292134831461,38.0
B-FOOD&DRINKS#STYLE&OPTIONS#NEGATIVE,0.3548387096774194,0.39285714285714285,0.3728813559322034,28.0
B-FOOD&DRINKS#STYLE&OPTIONS#NEUTRAL,0.0,0.0,0.0,1.0
B-FOOD&DRINKS#STYLE&OPTIONS#POSITIVE,0.9,0.2647058823529412,0.40909090909090906,34.0
B-HOTEL#CLEANLINESS#NEGATIVE,0.0,0.0,0.0,2.0
B-HOTEL#CLEANLINESS#POSITIVE,0.35714285714285715,0.4166666666666667,0.3846153846153846,12.0
B-HOTEL#COMFORT#NEGATIVE,0.0,0.0,0.0,5.0
B-HOTEL#COMFORT#POSITIVE,0.8333333333333334,0.29411764705882354,0.4347826086956522,17.0
B-HOTEL#DESIGN&FEATURES#NEGATIVE,0.5,0.16666666666666666,0.25,6.0
B-HOTEL#DESIGN&FEATURES#POSITIVE,0.4482758620689655,0.5,0.4727272727272727,26.0
B-HOTEL#GENERAL#NEUTRAL,0.0,0.0,0.0,1.0
B-HOTEL#GENERAL#POSITIVE,0.5,0.2727272727272727,0.3529411764705882,33.0
B-HOTEL#MISCELLANEOUS#NEGATIVE,0.0,0.0,0.0,4.0
B-HOTEL#MISCELLANEOUS#POSITIVE,0.0,0.0,0.0,1.0
B-HOTEL#PRICES#NEGATIVE,0.25,0.2,0.22222222222222224,5.0
B-HOTEL#PRICES#NEUTRAL,0.0,0.0,0.0,1.0
B-HOTEL#PRICES#POSITIVE,0.36363636363636365,0.26666666666666666,0.30769230769230765,15.0
B-HOTEL#QUALITY#NEGATIVE,0.0,0.0,0.0,3.0
B-HOTEL#QUALITY#POSITIVE,0.0,0.0,0.0,1.0
B-LOCATION#COMFORT#NEGATIVE,0.0,0.0,0.0,2.0
B-LOCATION#COMFORT#NEUTRAL,0.0,0.0,0.0,1.0
